Chromosome,Verified ORF,long terminal repeat,ARS,tRNA gene,transposable element gene,snoRNA gene,LTR retrotransposon,rRNA gene,ncRNA gene,Total Features,Chromosome Length (bp)
1,77,9,11,4,2,1,1,0,1,150,"230,218"
2,366,22,23,13,6,2,3,0,2,534,"813,184"
3,137,20,19,10,2,4,2,0,0,250,"316,620"
4,680,36,41,28,17,4,8,0,0,977,"1,531,933"
5,246,34,21,20,4,5,2,0,3,417,"576,874"
6,104,11,14,10,2,0,1,0,4,185,"270,161"
7,468,44,28,36,10,6,6,0,2,723,"1,090,940"
8,240,24,16,11,4,2,2,0,3,388,"562,643"
9,182,10,16,10,1,1,1,0,2,291,"439,888"
10,315,24,25,24,6,5,3,0,1,491,"745,751"
11,298,14,16,16,0,5,0,0,0,403,"666,816"
12,443,32,29,21,8,7,5,22,0,713,"1,078,177"
13,404,24,26,21,8,13,4,0,3,609,"924,431"
14,354,16,21,14,4,5,3,0,0,502,"784,333"
15,480,32,19,20,8,11,4,0,0,698,"1,091,291"
16,414,32,27,17,9,6,5,0,1,613,"948,066"
